receiverName,receiverAddress,receiverEmail
김민서,강원도 영월군 삼성615가,김민서75@example.com
강춘자,제주특별자치도 수원시 영통구 언주거리 (옥자이동),강춘자76@example.com
한미숙,전라북도 수원시 팔달구 삼성로,한미숙77@example.com
이민재,충청북도 안산시 학동가 (명자최읍),이민재78@example.com
김상훈,세종특별자치시 북구 오금217거리,김상훈79@example.com
이현주,세종특별자치시 남구 논현71길 (서영최진면),이현주80@example.com
류승민,서울특별시 동작구 양재천9거리,류승민81@example.com
김상훈,강원도 서천군 양재천가,김상훈82@example.com
이민수,대전광역시 송파구 역삼2거리 (정순김류리),이민수83@example.com
이채원,세종특별자치시 용산구 언주가,이채원84@example.com
송아름,경기도 시흥시 반포대거리 (서윤류노동),송아름85@example.com
박은정,인천광역시 관악구 가락가 (순자김김동),박은정86@example.com
박동현,경상북도 홍천군 오금869길,박동현87@example.com
윤지현,전라북도 수원시 영통구 논현73거리 (현주이면),윤지현88@example.com
이현우,강원도 태안군 가락로 (은영김읍),이현우89@example.com
김지은,충청남도 과천시 테헤란042길,김지은90@example.com
안미영,대구광역시 종로구 언주502거리,안미영91@example.com
서영진,세종특별자치시 양천구 서초대178길,서영진92@example.com
김지영,세종특별자치시 관악구 도산대가 (지훈김오리),김지영93@example.com
김우진,대구광역시 강북구 개포847가,김우진94@example.com
한준혁,경상북도 삼척시 선릉거리,한준혁95@example.com
이지민,울산광역시 노원구 영동대7로 (정순김동),이지민96@example.com
이미정,대전광역시 서초구 선릉거리,이미정97@example.com
노영자,광주광역시 동작구 영동대9길,노영자98@example.com
박준혁,대전광역시 성동구 석촌호수6로 (도윤이권면),박준혁99@example.com
김민재,강원도 평택시 학동길 (지후이이면),김민재100@example.com
